cnt; DashboardOrHK[sec]; cnt; Mouse; cnt; Router; cnt; RedrawAllLayers; cnt; UpdateStatusDisplay; cnt; DashboardOnPaint; cnt; ConsoleLights; cnt; UpdateDisplay; Event; FreezeRun
0; 0.000 ; 0; 0.000 ; 1; 73949.411 ; 5; 89363.538 ; 0; 0.000 ; 92; 99000.550 ; 2; 82988.123 ; 2; 89363.528 ; TS_ProbechangeFeedback; freeze
0; 54.355 ; 0; 0.000 ; 1; 0.000 ; 2; 151.233 ; 0; 0.000 ; 0; 0.000 ; 0; 0.000 ; 2; 151.223 ; TS_ShowPanel_Standard; freeze
0; 55.079 ; 0; 0.000 ; 1; 0.000 ; 1; 4.987 ; 0; 0.000 ; 0; 0.000 ; 0; 0.000 ; 1; 4.905 ; TS_VideoSource; freeze
0; 55.085 ; 0; 0.000 ; 1; 0.000 ; 1; 2.371 ; 0; 0.000 ; 0; 0.000 ; 0; 0.000 ; 1; 2.365 ; TS_UpdateControlView; freeze
0; 55.087 ; 0; 0.000 ; 1; 0.000 ; 1; 4.217 ; 0; 0.000 ; 0; 0.000 ; 0; 0.000 ; 1; 4.210 ; TS_VideoSource; freeze
0; 55.092 ; 0; 0.000 ; 1; 0.000 ; 1; 2.235 ; 0; 0.000 ; 0; 0.000 ; 0; 0.000 ; 1; 2.228 ; TS_UpdateControlView; freeze
0; 55.094 ; 0; 0.000 ; 1; 0.000 ; 1; 2.681 ; 0; 0.000 ; 0; 0.000 ; 0; 0.000 ; 1; 2.673 ; TS_UpdateControlView; freeze
0; 55.098 ; 0; 0.000 ; 1; 0.000 ; 1; 1.560 ; 0; 0.000 ; 0; 0.000 ; 0; 0.000 ; 1; 1.552 ; hk_slider; freeze
0; 55.108 ; 0; 0.000 ; 1; 0.000 ; 1; 3.272 ; 0; 0.000 ; 0; 0.000 ; 0; 0.000 ; 1; 3.266 ; TS_UpdateIndicatorView; freeze
0; 55.112 ; 0; 0.000 ; 1; 0.000 ; 1; 2.690 ; 0; 0.000 ; 0; 0.000 ; 0; 0.000 ; 1; 2.684 ; TS_UpdateIndicatorView; freeze
0; 55.115 ; 0; 0.000 ; 1; 0.000 ; 1; 2.795 ; 0; 0.000 ; 0; 0.000 ; 0; 0.000 ; 1; 2.789 ; TS_UpdateIndicatorView; freeze
0; 55.118 ; 474; 309652.294 ; 0; 0.000 ; 3; 288987.903 ; 0; 0.000 ; 416; 310093.670 ; 0; 0.000 ; 3; 288987.890 ; Mouse; freeze
0; 365.274 ; 0; 0.000 ; 1; 0.000 ; 1; 4.316 ; 0; 0.000 ; 8; 5.884 ; 0; 0.000 ; 1; 4.309 ; hk_trball_b; freeze
0; 366.095 ; 0; 0.000 ; 1; 0.000 ; 1; 3.216 ; 0; 0.000 ; 8; 131.572 ; 0; 0.000 ; 1; 3.202 ; hk_trball_b; freeze
0; 366.577 ; 352; 20817.354 ; 0; 0.000 ; 0; 0.000 ; 0; 0.000 ; 21; 20941.692 ; 0; 0.000 ; 0; 0.000 ; Mouse; freeze
0; 388.244 ; 0; 0.000 ; 1; 0.000 ; 1; 3.437 ; 0; 0.000 ; 8; 288.457 ; 0; 0.000 ; 1; 3.424 ; hk_trball_b; freeze
0; 389.311 ; 752; 195298.834 ; 0; 0.000 ; 13; 748582.527 ; 0; 0.000 ; 1252; 766811.809 ; 0; 0.000 ; 13; 748582.519 ; Mouse; freeze
0; 1156.745 ; 0; 0.000 ; 1; 0.000 ; 1; 6.356 ; 0; 0.000 ; 0; 0.000 ; 0; 0.000 ; 1; 6.344 ; TS_VideoSource; freeze
0; 1156.751 ; 0; 0.000 ; 1; 0.000 ; 1; 2.657 ; 0; 0.000 ; 0; 0.000 ; 0; 0.000 ; 1; 2.649 ; TS_UpdateControlView; freeze
0; 1156.756 ; 0; 0.000 ; 1; 0.000 ; 3; 314210.851 ; 0; 0.000 ; 595; 314223.483 ; 0; 0.000 ; 3; 314210.704 ; TS_UpdateIndicatorView; freeze
